rec_price_m,price,city,lat,lon,bathrooms,height,state,type,year,floor,max_floor,area
822130,61500000,Алматы,43.217109632327,76.88161884243,1,2,черновая отделка,Soho-17,2024,2,10,60
640510,38500000,Алматы,43.208718,76.788053,1,2,черновая отделка,монолитный,2020,3,9,70
780760,140000000,Астана,51.161098453202,71.399003641034,2,2,черновая отделка,монолитный,2023,14,17,130
661410,22000000,Алматы,43.32013007148,77.019565810865,1,2,черновая отделка,монолитный,2026,9,9,3
516150,35000000,Астана,51.144000228583,71.475335642826,1,2,черновая отделка,монолитный,2014,14,16,64
631530,29500000,Астана,51.114299936635,71.432702846224,1,2.7,"не новый, но аккуратный ремонт",монолитный,2014,2,15,41
880040,40000000,Алматы,43.189297,76.931999,1,2.8,черновая отделка,кирпичный,1986,2,3,3
535070,30800000,Алматы,43.365731834418,76.928858756801,1,2.7,черновая отделка,монолитный,2024,5,9,3
708140,54999999,Алматы,43.235423,76.806541,1,2.7,свежий ремонт,монолитный,2020,8,14,83
899800,66000000,Алматы,43.246220846814,76.940373132207,1,2.8,свежий ремонт Санузел раздельный,кирпичный,1985,5,5,6
702760,49500000,Алматы,43.221232453816,76.786067696394,1,2.7,свежий ремонт,монолитный,2019,3,6,6
624210,30000000,Алматы,43.268149623341,76.868425695047,1,2,черновая отделка,монолитный,2025,3,7,5
509380,95000000,Астана,51.117531581893,71.477941031779,2,2,свежий ремонт,кирпичный,2016,8,9,180
439950,33000000,Астана,51.182937,71.379028,1,2.7,"не новый, но аккуратный ремонт Санузел совмещенный",кирпичный,2011,1,9,82
579680,23500000,Алматы,43.268953006199,76.823329925483,1,2,свободная планировка,монолитный,2025,10,12,3
580550,19963963,Астана,51.112784,71.542458,1,2.8,черновая отделка,монолитный,2019,6,9,45
740370,41000000,Алматы,43.248960749904,76.91928083198,1,2,свежий ремонт Санузел совмещенный Балкон балкон,1977,1977,2,5,56
279190,17500000,Караганда,49.839488573289,73.189569474774,1,2,черновая отделка,1991,1991,4,5,6
487740,46000000,Астана,44.520613463157,82.670124378044,1,2,черновая отделка,кирпичный,2026,7,10,71
903240,56000000,Алматы,43.195597173434,76.893825198766,1,2,"не новый, но аккуратный ремонт",монолитный,2012,19,19,70
708210,45000000,Алматы,43.242026354859,76.904306379635,1,2,свежий ремонт Санузел раздельный,панельный,1963,4,4,60
875540,27000000,Алматы,43.247026270322,76.853087465923,1,2.8,свежий ремонт,монолитный,2022,10,10,31
791310,44000000,Алматы,43.23367894855,76.876173969534,1,2.8,"не новый, но аккуратный ремонт Санузел раздельный",панельный,1982,5,5,60
717340,65000000,Астана,51.115086059427,71.401242302133,1,2,черновая отделка,кирпичный,2020,8,9,75
539930,100000000,Астана,51.143802545943,71.4554837417,2,3.1,"не новый, но аккуратный ремонт",кирпичный,2014,5,6,149
